Clubs,MP,Yellow Cards,2X Yellow Cards,Red Cards
Fluminense FC,"38","73","2","2"
SC Corinthians,"38","80","1","3"
Santos FC,"38","85","1","3"
Sao Paulo FC,"38","87","1","4"
Cruzeiro EC,"38","79","3","5"
CR Flamengo,"38","93","2","3"
Athletico Paranaense,"38","93","2","3"
Gremio FBPA,"38","88","1","5"
Figueirense FC,"38","86","1","6"
Goias Esporte Clube,"38","86","3","5"
SE Palmeiras,"38","96","2","5"
Parana Clube,"38","98","0","6"
SC Internacional,"38","107","4","2"
EC Juventude,"38","104","2","5"
Sport Recife,"38","88","1","10"
Atletico Mineiro,"38","100","3","7"
Botafogo FR,"38","102","1","8"
America FC (RN),"38","109","2","7"
CR Vasco da Gama,"38","100","2","9"
Nautico,"38","118","5","10"
