Clubs, MP,Yellow Cards, 2X Yellow Cards,Red Cards
Botafogo FR,"38","75","2","1"
SC Corinthians,"38","87","2","1"
Santos FC,"38","82","2","2"
Fluminense FC,"38","86","1","2"
CR Flamengo,"38","80","4","2"
AD Portuguesa,"38","87","2","2"
CR Vasco da Gama,"38","90","1","2"
AA Ponte Preta,"38","93","2","1"
Náutico,"38","87","2","4"
São Paulo FC,"38","94","5","1"
Sport Recife,"38","87","5","3"
EC Bahia,"38","112","1","1"
SE Palmeiras,"38","105","5","1"
Atlético Goianiense,"38","100","2","4"
Coritiba FC,"38","99","4","3"
Figueirense FC,"38","93","5","4"
SC Internacional,"38","106","3","3"
Atlético Mineiro,"38","103","7","3"
Grêmio FBPA,"38","103","4","5"
Cruzeiro EC,"38","120","5","4"
